"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Bigbank Loan Calculator","1","Calculator Modal - Positive Tests","5","0","","0"
"0","Bigbank API","0","Calculate Endpoint - Positive Tests","4","0","","0"
"0","Bigbank API","1","Calculate Endpoint - Negative Tests","8","0","","0"
"0","Bigbank API","4","Calculate Endpoint - Boundary Tests","0","0","","0"
"0","Bigbank Loan Calculator","1","Calculator Modal - Boundary value Tests","0","0","","0"
"0","Bigbank Loan Calculator","1","Calculator Modal - Negative Tests","0","0","","0"
